Containertyp,Standort1,Standort2,Standort3,Latitude,Longitude
Altkleidercontainer,48163 Münster - Albachten,Hohe Geist  / Concordenstraße (Parkplatz Sportplatz Concordia),,51.923733,7.529846
Altkleidercontainer,48167 Münster - Angelmodde,Brandhoveweg 101 (Parkplatz Hallenbad),,51.915863,7.715098
Altkleidercontainer,48143 Münster - Centrum,Schlossplatz 44 (gegenüber Bäckergasse),,51.963097,7.617731
Altkleidercontainer,48157 Münster - Coerde,Zum Heidehof 80 (Recyclinghof Coerde),,52.010937,7.652406
Altkleidercontainer,48161 Münster - Gievenbeck,Arnheimweg (Parkplatz Sportgelände),,51.965122,7.574830
Altkleidercontainer,48161 Münster - Gievenbeck,Bernings Kotten 9 (Recyclinghof Gievenbeck),,51.960648,7.570898
Altkleidercontainer,48155 Münster - Gremmendorf,Eulerstraße 8 (Recyclinghof Eulerstraße),,51.938881,7.641665
Altkleidercontainer,48157 Münster - Handorf,Heriburgstraße (Parkplatz Hallenbad),,51.989536,7.705504
Altkleidercontainer,48157 Münster - Handorf,Kirschgarten/Hobbeltstr. (Sportplatz),,51.987438,7.708974
Altkleidercontainer,48157 Münster - Handorf,Lützowstraße 120 (Recyclinghof Handorf),,51.989231,7.713474
Altkleidercontainer,48165 Münster - Hiltrup,Glasuritstraße 1a (Recyclinghof Hiltrup),,51.895851,7.644486
Altkleidercontainer,48165 Münster - Hiltrup,Osttor 86 (Parkplatz Sportplatz),,51.906548,7.668808
Altkleidercontainer,48165 Münster - Hiltrup,Patronatsstraße 22 (Bezirksverwaltungsstelle),,51.904694,7.637366
Altkleidercontainer,48159 Münster - Kinderhaus,Von-Humboldt-Straße 50 (Recyclinghof Kinderhaus),,52.000050,7.604404
Altkleidercontainer,48145 Münster - Mauritz,Mauritz-Lindenweg 102 (Parkplatz Hallenbad Ost),,51.959103,7.658805
Altkleidercontainer,48155 Münster - Mauritz,Pleistermühlenweg 118 (Recyclinghof St. Mauritz),,51.961987,7.684499
Altkleidercontainer,48163 Münster - Mecklenbeck,An der Hansalinie 21 (Recyclinghof Mecklenbeck),,51.930332,7.554775
Altkleidercontainer,48163 Münster - Mecklenbeck,ggü. Brockmannstraße 66,,51.930500,7.579154
Altkleidercontainer,48161 Münster - Nienberge,Feldstiege 45 (Parkplatz Sportzentrum),,52.000118,7.548541
Altkleidercontainer,48161 Münster - Nienberge,Waltruper Weg 3a (Recyclinghof Nienberge),,51.992844,7.543340
Altkleidercontainer,48161 Münster - Roxel,Nottulner Landweg 66 (Recyclinghof Roxel),,51.947178,7.535220
Altkleidercontainer,48159 Münster - Wienburg,Dreizehnerstraße / Grevener Straße,,51.983685,7.611150
Altkleidercontainer,48167 Münster - Wolbeck,Eschstraße 79 (Recyclinghof Wolbeck),,51.918201,7.720934
Erstellungsdatum:,2024-11-28,,,,,
