Containertyp,Stadtteil,Standort,öffentlich,Wertstoffhof,Unterflurstandort,Sorten,Latitude,Longitude
Glascontainer,48151 Münster - Aaseestadt,Bonhoefferstraße (Polizeischule ggü.),ja,nein,nein,"bunt, weiß",51.941853,7.606371
Glascontainer,48151 Münster - Aaseestadt,Delpstraße/Goerdeler Straße (gegenüber Hochhäuser),ja,nein,nein,"bunt, weiß",51.947723,7.607582
Glascontainer,48151 Münster - Aaseestadt,Lange Ossenbeck (Buskehre),ja,nein,nein,"bunt, weiß",51.937237,7.597556
Glascontainer,48151 Münster - Aaseestadt,Lange Ossenbeck/Kleihorststraße,ja,nein,nein,"bunt, weiß",51.938862,7.599680
Glascontainer,48151 Münster - Aaseestadt,Von-Ossietzky-Str. gegenü. Tennisplatz,ja,nein,nein,"bunt, weiß",51.942280,7.601887
Glascontainer,48151 Münster - Aaseestadt,Von-Stauffenbergstr. gegenü. Haus Nr. 36,ja,nein,nein,"bunt, weiß",51.945587,7.612130
Glascontainer,48163 Münster - Albachten,Am Kämpken,ja,nein,nein,"bunt, weiß",51.920242,7.526349
Glascontainer,48163 Münster - Albachten,Concordenstr. (Parkplatz vor dem Sportplatz),ja,nein,nein,"bunt, weiß",51.923843,7.529778
Glascontainer,48163 Münster - Albachten,Dülmener Straße (gegenüber Feuerwehr),ja,nein,nein,"bunt, weiß",51.925007,7.521031
Glascontainer,48163 Münster - Albachten,Langenkamp (Buswende),ja,nein,nein,"bunt, weiß",51.914619,7.526518
Glascontainer,48163 Münster - Albachten,Osthofstraße (Parkplatz Friedhof),ja,nein,nein,"bunt, weiß",51.923420,7.526430
Glascontainer,48163 Münster - Amelsbüren,Am Emmerbach (Parkplatz),ja,nein,nein,"bunt, weiß",51.885490,7.604564
Glascontainer,48163 Münster - Amelsbüren,"Auf der Woort (vor Getränkemarkt Dursty, Parkstreifen)",ja,nein,nein,"bunt, weiß",51.883064,7.605256
Glascontainer,48163 Münster - Amelsbüren,Davertstraße (Feuerwehr/Friedhof),ja,nein,nein,"bunt, weiß",51.881355,7.608515
Glascontainer,48163 Münster - Amelsbüren,Kappenberger Damm (Wiedau-Schule),ja,nein,nein,"bunt, weiß",51.894478,7.578858
Glascontainer,48163 Münster - Amelsbüren,Pater-Kolbe-Straße/Am Dornbusch,ja,nein,nein,"bunt, weiß",51.883289,7.615717
Glascontainer,48167 Münster - Angelmodde,Albersloher Weg/Zum Kaiserbusch gegenüber Haus Nr. 1,ja,nein,nein,weiß/grün/braun,51.912727,7.684429
Glascontainer,48167 Münster - Angelmodde,Alter Postweg,ja,nein,nein,weiß/grün/braun,51.923958,7.699961
Glascontainer,48167 Münster - Angelmodde,Am Schütthook (Junker-Jörg-Platz),ja,nein,nein,"grün/braun, weiß",51.915607,7.690217
Glascontainer,48167 Münster - Angelmodde,Am Schütthook (Parkplatz Boelestraße),ja,nein,,weiß/grün/braun,51.915855,7.694539
Glascontainer,48167 Münster - Angelmodde,Bonnenkamp/ Middelkamp (Wendehammer),ja,nein,nein,weiß/grün/braun,51.912060,7.689929
Glascontainer,48167 Münster - Angelmodde,Brandhoveweg/Pepinghegeweg,ja,nein,nein,"grün/braun, weiß",51.917656,7.707878
Glascontainer,48167 Münster - Angelmodde,Buschstraße 6/Zum Erlenbusch,ja,nein,nein,"grün/braun, weiß",51.922100,7.677308
Glascontainer,48167 Münster - Angelmodde,Eichendorffstraße vor Haus Nr. 3,ja,nein,nein,weiß/grün/braun,51.914375,7.691037
