Nr,Containertyp,Standort1,Standort2,Standort3,Latitude,Longitude,Datum
2,Glascontainer,48151 Münster - Aaseestadt,Bonhoefferstraße (Polizeischule ggü.),,51.941853,7.606371,2024-06-10
3,Glascontainer,48151 Münster - Aaseestadt,Delpstraße/Goerdeler Straße (gegenüber Hochhäuser),,51.947723,7.607582,2024-06-10
4,Glascontainer,48151 Münster - Aaseestadt,Lange Ossenbeck (Buskehre),,51.937237,7.597556,2024-06-10
5,Glascontainer,48151 Münster - Aaseestadt,Lange Ossenbeck/Kleihorststraße,,51.938862,7.599680,2024-06-10
6,Glascontainer,48151 Münster - Aaseestadt,Von-Ossietzky-Str. gegenü. Tennisplatz,,51.942280,7.601887,2024-06-10
7,Glascontainer,48151 Münster - Aaseestadt,Von-Stauffenbergstr. gegenü. Haus Nr. 36,,51.945587,7.612130,2024-06-10
8,Glascontainer,48163 Münster - Albachten,Am Kämpken,,51.920242,7.526349,2024-06-10
9,Glascontainer,48163 Münster - Albachten,Concordenstr. (Parkplatz vor dem Sportplatz),,51.923843,7.529778,2024-06-10
10,Glascontainer,48163 Münster - Albachten,Dülmener Straße (gegenüber Feuerwehr),,51.925007,7.521031,2024-06-10
11,Glascontainer,48163 Münster - Albachten,Langenkamp (Buswende),,51.914619,7.526518,2024-06-10
12,Glascontainer,48163 Münster - Albachten,Osthofstraße (Parkplatz Friedhof),,51.923420,7.526430,2024-06-10
13,Glascontainer,48163 Münster - Amelsbüren,Am Emmerbach (Parkplatz),,51.885490,7.604564,2024-06-10
14,Glascontainer,48163 Münster - Amelsbüren,"Auf der Woort (vor Getränkemarkt Dursty, Parkstreifen)",,51.883064,7.605256,2024-06-10
15,Glascontainer,48163 Münster - Amelsbüren,Davertstraße (Feuerwehr/Friedhof),,51.881355,7.608515,2024-06-10
16,Glascontainer,48163 Münster - Amelsbüren,Kappenberger Damm (Wiedau-Schule),,51.894478,7.578858,2024-06-10
17,Glascontainer,48163 Münster - Amelsbüren,Pater-Kolbe-Straße/Am Dornbusch,,51.883289,7.615717,2024-06-10
18,Glascontainer,48167 Münster - Angelmodde,Albersloher Weg/Zum Kaiserbusch gegenüber Haus Nr. 1,,51.912727,7.684429,2024-06-10
19,Glascontainer,48167 Münster - Angelmodde,Alter Postweg,,51.923958,7.699961,2024-06-10
20,Glascontainer,48167 Münster - Angelmodde,Am Schütthook (Junker-Jörg-Platz),,51.915607,7.690217,2024-06-10
21,Glascontainer,48167 Münster - Angelmodde,Am Schütthook (Parkplatz Boelestraße),,51.915855,7.694539,2024-06-10
22,Glascontainer,48167 Münster - Angelmodde,Bonnenkamp/ Middelkamp (Wendehammer),,51.912060,7.689929,2024-06-10
23,Glascontainer,48167 Münster - Angelmodde,Brandhoveweg/Pepinghegeweg,,51.917656,7.707878,2024-06-10
24,Glascontainer,48167 Münster - Angelmodde,Buschstraße 6/Zum Erlenbusch,,51.922100,7.677308,2024-06-10
25,Glascontainer,48167 Münster - Angelmodde,Eichendorffstraße vor Haus Nr. 3,,51.914375,7.691037,2024-06-10
26,Glascontainer,48167 Münster - Angelmodde,Homannstraße/Zum Erlenbusch 100,,51.919628,7.681194,2024-06-10
27,Glascontainer,48167 Münster - Angelmodde,Schlesienstraße,,51.918465,7.677483,2024-06-10
28,Glascontainer,48167 Münster - Angelmodde,Schlesienstraße/Ostpreußenstraße,,51.918427,7.677505,2024-06-10
29,Glascontainer,48167 Münster - Angelmodde,Theodor-Heuss-Straße 10,,51.914455,7.692838,2024-06-10
30,Glascontainer,48167 Münster - Angelmodde,Vogelrohrsheide (vor Haus Nr. 138),,51.914555,7.684626,2024-06-10
31,Glascontainer,48153 Münster - Berg Fidel,Am Berg Fidel (Parkpl. Preußen-Stadion),,51.931835,7.625546,2024-06-10
32,Glascontainer,48153 Münster - Berg Fidel,Am Berg Fidel (ggü. Haus Nr. 62),,51.926998,7.624035,2024-06-10
33,Glascontainer,48165 Münster - Berg Fidel,Elsa-Brändström-Weg/Vennheideweg,,51.921417,7.621697,2024-06-10
34,Glascontainer,48153 Münster - Berg Fidel,Hogenbergstr. vor Haus Nr. 21-27 Einkaufszentrum,,51.927155,7.619977,2024-06-10
35,Glascontainer,48153 Münster - Berg Fidel,Lechterstraße 6 (Bürgersteig),,51.926044,7.617250,2024-06-10
36,Glascontainer,48153 Münster - Berg Fidel,Pankokstraße (Haus Simeon),,51.926411,7.622861,2024-06-10
37,Glascontainer,48153 Münster - Berg Fidel,Ter-Borch-Straße (Parkplatz),,51.925774,7.620609,2024-06-10
38,Glascontainer,48147 Münster - Centrum,Am Kreuztor (REWE-Markt),,51.968212,7.622635,2024-06-10
39,Glascontainer,48149 Münster - Centrum,Einsteinstraße/Hittorfstraße,,51.965752,7.604761,2024-06-10
