"RAUM";"DATENQUELLE";"THEMENBEREICH";"MERKMAL";"ZEIT";"WERT";"WERTEEINHEIT"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Mobilität und Tiefbau";4;"Wege/Tag - Kfz";"1982";39,20;"%"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Mobilität und Tiefbau";4;"Wege/Tag - ÖV";"1982";6,60;"%"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Mobilität und Tiefbau";4;"Wege/Tag - Fahrrad";"1982";29,20;"%"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Mobilität und Tiefbau";4;"Wege/Tag - Fuß";"1982";25,00;"%"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Mobilität und Tiefbau";4;"Wege/Tag - Kfz";"1990";38,30;"%"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Mobilität und Tiefbau";4;"Wege/Tag - ÖV";"1990";6,60;"%"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Mobilität und Tiefbau";4;"Wege/Tag - Fahrrad";"1990";33,90;"%"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Mobilität und Tiefbau";4;"Wege/Tag - Fuß";"1990";21,20;"%"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";9;"CO2-Emissionen - Private Haushalte";"1990";817146,28;"t"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";9;"CO2-Emissionen - Gewerbe + Sonstiges";"1990";846374,36;"t"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";9;"CO2-Emissionen - Industrie";"1990";293939,74;"t"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";9;"CO2-Emissionen - Verkehr";"1990";660748,80;"t"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";9;"CO2-Emissionen - Gesamt";"1990";2618209,19;"t"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Wärme";"1990";1120,97;"kt"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Wärme prozentuale Änderung zu 1990";"1990";0,00;"%"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Strom";"1990";836,48;"kt"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Strom prozentuale Änderung zu 1990";"1990";0,00;"%"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Verkehr";"1990";660,74;"kt"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Verkehr prozentuale Änderung zu 1990";"1990";0,00;"%"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Gesamt";"1990";2618,20;"kt"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Gesamt prozentuale Änderung zu 1990";"1990";0,00;"%"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";12;"Endenergieverbrauch nach Sektoren - Private Haushalte";"1990";2076,32;"GWh"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";12;"Endenergieverbrauch nach Sektoren - Gewerbe + Sonstiges";"1990";1920,83;"GWh"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";12;"Endenergieverbrauch nach Sektoren - Industrie";"1990";652,17;"GWh"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";12;"Endenergieverbrauch nach Sektoren - Verkehr";"1990";2079,72;"GWh"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";12;"Endenergieverbrauch nach Sektoren - Gesamt";"1990";6729,05;"GWh"
"Münster, Gesamtstadt";"Statistik der Bundesagentur für Arbeit";19;"Sozialversicherungspflichtige Beschäftigte am Arbeitsort";"1990";112391,00;"Anzahl"
"Münster, Gesamtstadt";"Statistik der Bundesagentur für Arbeit";19;"Sozialversicherungspflichtige Beschäftigte am Arbeitsort";"1991";115949,00;"Anzahl"
"Münster, Gesamtstadt";"Volkswirtschaftliche Gesamtrechnungen der Länder";19;"Bruttoinlandsprodukt";"1991";9209000,00;"EUR"
"Münster, Gesamtstadt";"Statistik der Bundesagentur für Arbeit";19;"Sozialversicherungspflichtige Beschäftigte am Arbeitsort";"1992";118260,00;"Anzahl"
"Münster, Gesamtstadt";"Volkswirtschaftliche Gesamtrechnungen der Länder";19;"Bruttoinlandsprodukt";"1992";9899000,00;"EUR"
"Münster, Gesamtstadt";"Statistik der Bundesagentur für Arbeit";19;"Sozialversicherungspflichtige Beschäftigte am Arbeitsort";"1993";118684,00;"Anzahl"
"Münster, Gesamtstadt";"Volkswirtschaftliche Gesamtrechnungen der Länder";19;"Bruttoinlandsprodukt";"1993";10315000,00;"EUR"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Mobilität und Tiefbau";4;"Wege/Tag - Kfz";"1994";37,30;"%"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Mobilität und Tiefbau";4;"Wege/Tag - ÖV";"1994";9,50;"%"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Mobilität und Tiefbau";4;"Wege/Tag - Fahrrad";"1994";31,70;"%"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Mobilität und Tiefbau";4;"Wege/Tag - Fuß";"1994";21,50;"%"
"Münster, Gesamtstadt";"Statistik der Bundesagentur für Arbeit";19;"Sozialversicherungspflichtige Beschäftigte am Arbeitsort";"1994";118814,00;"Anzahl"
"Münster, Gesamtstadt";"Volkswirtschaftliche Gesamtrechnungen der Länder";19;"Bruttoinlandsprodukt";"1994";10539000,00;"EUR"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";9;"CO2-Emissionen - Private Haushalte";"1995";774039,74;"t"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";9;"CO2-Emissionen - Gewerbe + Sonstiges";"1995";801725,97;"t"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";9;"CO2-Emissionen - Industrie";"1995";278433,67;"t"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";9;"CO2-Emissionen - Verkehr";"1995";649866,50;"t"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";9;"CO2-Emissionen - Gesamt";"1995";2504065,90;"t"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Wärme";"1995";1055,94;"kt"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Wärme prozentuale Änderung zu 1990";"1995";-5,80;"%"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Strom";"1995";798,25;"kt"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Strom prozentuale Änderung zu 1990";"1995";-4,57;"%"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Verkehr";"1995";649,86;"kt"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Verkehr prozentuale Änderung zu 1990";"1995";-1,64;"%"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Gesamt";"1995";2504,06;"kt"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Gesamt prozentuale Änderung zu 1990";"1995";-4,35;"%"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";12;"Endenergieverbrauch nach Sektoren - Private Haushalte";"1995";2061,01;"GWh"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";12;"Endenergieverbrauch nach Sektoren - Gewerbe + Sonstiges";"1995";1906,67;"GWh"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";12;"Endenergieverbrauch nach Sektoren - Industrie";"1995";647,36;"GWh"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";12;"Endenergieverbrauch nach Sektoren - Verkehr";"1995";2038,74;"GWh"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";12;"Endenergieverbrauch nach Sektoren - Gesamt";"1995";6653,78;"GWh"
"Münster, Gesamtstadt";"Statistik der Bundesagentur für Arbeit";19;"Sozialversicherungspflichtige Beschäftigte am Arbeitsort";"1995";116935,00;"Anzahl"
"Münster, Gesamtstadt";"Volkswirtschaftliche Gesamtrechnungen der Länder";19;"Bruttoinlandsprodukt";"1995";10981000,00;"EUR"
"Münster, Gesamtstadt";"Statistik der Bundesagentur für Arbeit";19;"Sozialversicherungspflichtige Beschäftigte am Arbeitsort";"1996";117223,00;"Anzahl"
"Münster, Gesamtstadt";"Volkswirtschaftliche Gesamtrechnungen der Länder";19;"Bruttoinlandsprodukt";"1996";11052000,00;"EUR"
"Münster, Gesamtstadt";"Statistik der Bundesagentur für Arbeit";19;"Sozialversicherungspflichtige Beschäftigte am Arbeitsort";"1997";118065,00;"Anzahl"
"Münster, Gesamtstadt";"Volkswirtschaftliche Gesamtrechnungen der Länder";19;"Bruttoinlandsprodukt";"1997";11283000,00;"EUR"
"Münster, Gesamtstadt";"Statistik der Bundesagentur für Arbeit";19;"Sozialversicherungspflichtige Beschäftigte am Arbeitsort";"1998";118604,00;"Anzahl"
"Münster, Gesamtstadt";"Volkswirtschaftliche Gesamtrechnungen der Länder";19;"Bruttoinlandsprodukt";"1998";11638000,00;"EUR"
"Münster, Gesamtstadt";"Statistik der Bundesagentur für Arbeit";19;"Sozialversicherungspflichtige Beschäftigte am Arbeitsort";"1999";122155,00;"Anzahl"
"Münster, Gesamtstadt";"Volkswirtschaftliche Gesamtrechnungen der Länder";19;"Bruttoinlandsprodukt";"1999";12081000,00;"EUR"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";9;"CO2-Emissionen - Private Haushalte";"2000";773328,01;"t"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";9;"CO2-Emissionen - Gewerbe + Sonstiges";"2000";800988,78;"t"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";9;"CO2-Emissionen - Industrie";"2000";278177,65;"t"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";9;"CO2-Emissionen - Verkehr";"2000";638984,19;"t"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";9;"CO2-Emissionen - Gesamt";"2000";2491478,65;"t"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Wärme";"2000";1058,94;"kt"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Wärme prozentuale Änderung zu 1990";"2000";-5,53;"%"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Strom";"2000";793,54;"kt"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Strom prozentuale Änderung zu 1990";"2000";-5,13;"%"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Verkehr";"2000";638,98;"kt"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Verkehr prozentuale Änderung zu 1990";"2000";-3,29;"%"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Gesamt";"2000";2491,47;"kt"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";10;"CO2-Emissionen Anwendung - Gesamt prozentuale Änderung zu 1990";"2000";-4,84;"%"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";12;"Endenergieverbrauch nach Sektoren - Private Haushalte";"2000";2162,98;"GWh"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";12;"Endenergieverbrauch nach Sektoren - Gewerbe + Sonstiges";"2000";2001,00;"GWh"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";12;"Endenergieverbrauch nach Sektoren - Industrie";"2000";679,39;"GWh"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";12;"Endenergieverbrauch nach Sektoren - Verkehr";"2000";1997,75;"GWh"
"Münster, Gesamtstadt";"Stadt Münster - Stabsstelle Klima";12;"Endenergieverbrauch nach Sektoren - Gesamt";"2000";6841,14;"GWh"
"Münster, Gesamtstadt";"Statistik der Bundesagentur für Arbeit";19;"Sozialversicherungspflichtige Beschäftigte am Arbeitsort";"2000";126649,00;"Anzahl"
"Münster, Gesamtstadt";"Volkswirtschaftliche Gesamtrechnungen der Länder";19;"Bruttoinlandsprodukt";"2000";12191361,00;"EUR"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Mobilität und Tiefbau";4;"Wege/Tag - Kfz";"2001";40,50;"%"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Mobilität und Tiefbau";4;"Wege/Tag - ÖV";"2001";10,90;"%"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Mobilität und Tiefbau";4;"Wege/Tag - Fahrrad";"2001";35,20;"%"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Mobilität und Tiefbau";4;"Wege/Tag - Fuß";"2001";13,40;"%"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Grünflächen, Umwelt und Nachhaltigkeit";7;"Betriebe";"2001";14,00;"Anzahl"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Grünflächen, Umwelt und Nachhaltigkeit";7;"Einsparung Abfälle";"2001";877,00;"t pro Jahr"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Grünflächen, Umwelt und Nachhaltigkeit";7;"Einsparung Energie";"2001";1387000,00;"kWh pro Jahr"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Grünflächen, Umwelt und Nachhaltigkeit";7;"Einsparung - Wasser";"2001";2320,00;"m³ pro Jahr"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Grünflächen, Umwelt und Nachhaltigkeit";7;"Einsparung - CO2";"2001";694,00;"t pro Jahr"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Grünflächen, Umwelt und Nachhaltigkeit";7;"Einsparung Betriebskosten";"2001";489460,00;" pro Jahr"
"Münster, Gesamtstadt";"Stadt Münster - Amt für Grünflächen, Umwelt und Nachhaltigkeit";7;"einmalige Investitionskosten";"2001";301918,00;""
"Münster, Gesamtstadt";"Statistik der Bundesagentur für Arbeit";19;"Sozialversicherungspflichtige Beschäftigte am Arbeitsort";"2001";128392,00;"Anzahl"
