Betreiber;Straße;Hausnummer;Adresszusatz;Postleitzahl;Ort;Bundesland;Kreis/kreisfreie Stadt;Breitengrad;Längengrad;Inbetriebnahmedatum;Nennleistung Ladeeinrichtung [kW];Art der Ladeeinrichung;Anzahl Ladepunkte;Steckertypen1;P1 [kW];Public Key1;Steckertypen2;P2 [kW];Public Key2;Steckertypen3;P3 [kW];Public Key3;Steckertypen4;P4 [kW];Public Key4
Stadtwerke Münster GmbH;Ritterstraße;38;;48143;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,964164;7,63198;07.03.2022;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Stadtwerke Münster GmbH;Von-Steuben-Straße;9;;48143;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,95556;7,63326;28.03.2022;22;Normalladeeinrichtung;4;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;
Stadtwerke Münster GmbH;Ludgeristraße;100;;48143;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,959686;7,62635;19.09.2022;22;Normalladeeinrichtung;2;AC Steckdose Typ 2, AC Schuko;11;;AC Steckdose Typ 2, AC Schuko;11;;;;;;;
Stadtwerke Münster GmbH;Ludgeriplatz;2;;48143;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,955681;7,627244;20.09.2022;22;Normalladeeinrichtung;2;AC Steckdose Typ 2, AC Schuko;11;;AC Steckdose Typ 2, AC Schuko;11;;;;;;;
Stadtwerke Münster GmbH;Alter Steinweg;21;;48143;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,962039;7,632006;21.09.2022;22;Normalladeeinrichtung;2;AC Steckdose Typ 2, AC Schuko;11;;AC Steckdose Typ 2, AC Schuko;11;;;;;;;
Stadtwerke Münster GmbH;Servatiplatz;0;;48143;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,959811;7,635289;22.09.2022;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;11;;AC Steckdose Typ 2;11;;;;;;;
Stadtwerke Münster GmbH;Engelstraße;49;;48143;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,955953;7,631389;27.09.2022;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Stadtwerke Münster GmbH;Engelstraße;49;;48143;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,955953;7,631389;27.09.2022;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Hotel Guter Hirte GmbH;Mauritz-Lindenweg;61;;48145;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,9621201;7,6566247;13.12.2022;11;Normalladeeinrichtung;2;AC Steckdose Typ 2;11;4EFD 2D68 3DFD 37A6 9C44 8443 D6CD D2E4 D9B5 DB07 3A7C 5E8B 7C51 1D72 431D ED6C 426A 188D C3EC D6E5 EC60 683F 5F42 CFD4;AC Steckdose Typ 2;11;E92C FF7C 4982 2605 6AAF 615B 77E6 3F10 7B37 97C8 08CA 7F87 9151 83BB 2E84 568C 7BF3 6FC7 4586 1E28 8256 BCCB 4DF4 EABC;;;;;;
Knubel GmbH & Co. KG;Schiffahrter Damm;139;;48145;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,975384;7,657967;25.02.2021;39,6;Normalladeeinrichtung;2;DC Kupplung Combo;22;;AC Steckdose Typ 2;11;;;;;;;
Knubel GmbH & Co. KG;Schiffahrter Damm;139;Die Ladesäule befindet sich links am GW Platz;48145;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,975353;7,657877;21.09.2023;39,65;Normalladeeinrichtung;2;AC Steckdose Typ 2;11;;DC Kupplung Combo;22;;;;;;;
Stadtwerke Münster GmbH;Friedensstraße;1;;48145;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,961223;7,642513;18.08.2023;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Stadtwerke Münster GmbH;Friedensstraße;1;;48145;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,961223;7,642513;30.08.2023;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Stadtwerke Münster GmbH;Gereonstraße;32;;48145;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,963806;7,641609;08.09.2023;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Stadtwerke Münster GmbH;Wasserstraße;5;;48147;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,966896;7,631083;14.03.2022;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Stadtwerke Münster GmbH;Maximilianstraße;44;;48147;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,970129;7,629456;16.08.2023;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
VKA Pflegedienst GmbH;Kinderhauser Str.;158;;48147;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,982029;7,613994;24.11.2022;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Westfalen AG;Bohlweg;72;;48147;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,967304;7,6431482;01.01.2021;72;Schnellladeeinrichtung;2;DC Kupplung Combo, DC CHAdeMO;50;;AC Steckdose Typ 2;22;;;;;;;
WSF Immobilienverwaltungs-GmbH & Co. KG;Albrecht-Thaer-Str.;2;;48147;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,9825;7,63736;22.11.2023;11;Normalladeeinrichtung;4;AC Steckdose Typ 2;11;;AC Steckdose Typ 2;11;;AC Steckdose Typ 2;11;;AC Steckdose Typ 2;11;
Aral Pulse;Steinfurter Straße;1-3;;48149;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,96862;7,61363;18.11.2021;300;Schnellladeeinrichtung;2;DC Kupplung Combo, DC CHAdeMO;300;;DC Kupplung Combo;300;;;;;;;
Aral Pulse;Steinfurter Straße;1-3;;48149;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,9686;7,61363;18.11.2021;300;Schnellladeeinrichtung;2;DC Kupplung Combo, DC CHAdeMO;300;;DC Kupplung Combo;300;;;;;;;
Aral Pulse;Steinfurter Straße;1-3;;48149;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,96862;7,61363;05.01.2023;300;Schnellladeeinrichtung;2;DC Kupplung Combo, DC CHAdeMO;300;;DC Kupplung Combo;300;;;;;;;
Dr Maasjost&Collegen AG;Wilhelm-Schickardstr.2;2;;48149;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,9754197;7,5937529;14.02.2023;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;1: DE*EAZ*E0021*1: AE4E 1354 DDD3 95DA D8D3 2D7E 1FE2 B702 467F B3E3 FF2B DD7F CD30 C869 8905 4BFE 3A05 8100 FB2B E710 1D3A 0FA4 363B 79A5 Ladepunkt 2: DE*EAZ*E0021*2: E5CF B998 E92A 534D 78C8 4AEF 192A CC8F 1890 A641 4DC3 C8D1 906D FDEF 1974 5D38 6822 F67D 0069 79AB B142 4126 A2C5 1A69;AC Steckdose Typ 2;22;;;;;;;
Industrie- und Gewerbepark Mittelelbe GmbH;Annette-Allee;6-10;;48149;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,957928;7,612578;31.12.2023;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
LBS Nordwest;Himmelreichalle;40;;48149;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,9590064;7,614362059;06.03.2024;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;dbb8 31ee eb4f 9664 ed88 f762 a1cf 857e 5037 5271 f531 758c cdf7 6934 562e c9a5 6ec1 11d1 1bef 8d15 4f49 0c76 818d 0eb9;AC Steckdose Typ 2;22;5d6a 766b b126 7bef fe9e 45d2 0a36 5105 ad34 6eff a961 ebdc 862e 64ee d3a6 b0a2 bf98 132c 63fe 4e3b 180b ac53 5965 b5d9;;;;;;
LBS Nordwest;Himmelreichallee;40;;48149;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,9599835;7,613736085;06.03.2024;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;31ca 2aa1 d65d 9265 ed5d d9b2 4e12 3dcc 503f 2d54 3244 dd56 39d2 8501 585b f4d0 d0e8 fc10 98e6 22cc aff7 1088 9087 8861;AC Steckdose Typ 2;22;e41f b1ab 3228 af00 1dbb 7f16 9cdd 6529 cb9e 9638 4106 ba67 0d07 2767 7a49 4db7 8afb f426 c6b1 1eaf 8ed1 f205 6b10 ff62;;;;;;
LBS Nordwest;Himmelreichallee;40;;48149;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,95995172;7,613787654;06.03.2024;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;5d86 3b89 773b 3e71 d52d 9403 a388 5e19 83d7 a9e6 4b28 908e 9397 aef6 ef6d f449 5faf 9c3f 66dc 47c8 9009 b888 c7bd d993;AC Steckdose Typ 2;22;a7dc 5943 8cb7 4895 9062 a0ab 69d8 dd16 632f b291 2f04 7f5b c4b8 d36e e7fd c96b ac19 f586 8973 fb63 30c9 b8fb 060e 6b75;;;;;;
LBS Nordwest;Himmelreichallee;40;;48149;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,9600113;7,613787654;06.03.2024;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;03e9 4ad0 c041 ee51 36e1 237c ad7c f92b c072 81b6 a645 b535 c6b1 5392 b459 b76d 011f 9b20 4682 8ef1 fe7b 1a55 5e8b 327d;AC Steckdose Typ 2;22;7152 e7be fc99 c049 dca0 f5f5 6f28 afda a2ac fafe 026f ce3c a767 520e 46f4 735e 5fdd fc50 fa5f bb64 71bf 8c5e 4096 9da0;;;;;;
LBS Nordwest;Himmelreichallee;40;;48149;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,96000733;7,61382633;06.03.2024;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;449b 8886 77ed 0225 c1c7 27c7 2666 e6c0 f3ec c47c 9a58 1d6e f10b 827d 7098 76f0 1a0d d716 ca3c 2718 9884 46a9 5b7e 0c79;AC Steckdose Typ 2;22;7641 53e5 7af3 39e9 38c8 58e6 6205 dd85 b300 a1b0 8fb8 052a d84b 8dc7 4e06 b11d 707b 088e 3964 b652 7254 5468 ef7c 0dbf;;;;;;
Q1 Autostrom;Mendelstraße;11;;48149;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,97007887;7,590982458;20.02.2023;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;3059301306072a8648ce3d020106082a8648ce3d030107034200048d35e81f1ead8caacf6e744fd66c32eecb86c74d99f9f9dcbb8265eb626cfbf214ddf428ba00de7c704e94b9d2c950938f2f1d76b8c295482e19a380592ee9b9;AC Steckdose Typ 2;22;3059301306072a8648ce3d020106082a8648ce3d030107034200044b604a1991598d4f39e68524608a85647bf7d75cd967401868f3d686dcc17551c27d75f81b7c0b2d0215b23eb6441ef4c31da371275eff1185f9462389760c9a;;;;;;
