ID;Title;Latitude;Longitude;Info
170;Haus Uhlenkotten;51.992869;7.574347;
171;Abzweig Angelmodde;51.932682;7.7176;
172;Abzweig Wilkinghege;51.984619;7.588382;Die Haltestelle ist eingeschränkt barrierefrei. Barrierefrei sind nur die Bussteige A und B.
173;Adlerhorst;51.966328;7.676823;
174;Aegidiimarkt / LWL-Museum;51.960506;7.62412;
175;Aegidiitor;51.957531;7.618864;
176;Agathastraße;51.928563;7.687582;Die Haltestelle ist eingeschränkt barrierefrei. Barrierefrei ist nur der stadtauswärtige Bussteig.
177;Albachten Bahnhof;51.914797;7.527638;
178;Albachten Kirche;51.924712;7.527566;Die Haltestelle ist eingeschränkt barrierefrei. Barrierefrei ist nur der stadtauswärtige Bussteig.
179;Albertstraße;51.966756;7.65463;
180;Alfersheide;52.027536;7.673299;
181;Alhardstraße;51.99521;7.548603;
182;Alte Sternwarte;51.976729;7.585254;Die Haltestelle ist eingeschränkt barrierefrei. Barrierefrei ist nur der stadteinwärtige Bussteig
183;Altehof;51.929186;7.683398;
184;Alter Schützenhof;51.94583;7.623256;
185;Altstadt / Bült;51.964299;7.630641;
186;Am Berler Kamp;51.915672;7.720538;Die Haltestelle ist eingeschränkt barrierefrei. Barrierefrei ist nur der stadteinwärtige Bussteig
187;Am Blaukreuzwäldchen;51.915832;7.680899;Die Haltestelle ist eingeschränkt barrierefrei. Barrierefrei ist nur der stadtauswärtige Bussteig.
188;Am Herzkamp;51.906946;7.683082;
189;Am Hornbach;52.002859;7.709677;Die Haltestelle ist eingeschränkt barrierefrei. Barrierefrei ist nur der stadteinwärtige Bussteig
190;Am Kämpken;51.920463;7.526886;
191;Am Kerkamp;52.005195;7.709113;
192;Am Schütthook;51.914217;7.684833;
193;Amelsbüren Bahnhof;51.884478;7.600242;
194;Amelsbüren Kirche;51.884881;7.60503;
195;Amelsbüren Süd;51.878209;7.60939;
196;Amelsbürener Straße;51.898278;7.624145;
197;An der Alten Kirche;51.905339;7.635969;
198;An der Christuskirche;51.90753;7.649163;
199;An der Kleikuhle;51.957258;7.531698;Die Haltestelle ist eingeschränkt barrierefrei. Barrierefrei ist nur der stadtauswärtige Bussteig.
200;An der Konradkirche;51.963437;7.675971;
201;Anton-Bruchausen-Straße;51.981115;7.635288;
202;Asbeckweg;51.971493;7.569302;
203;Ashölterweg;52.026816;7.61816;
204;Auenviertel;51.966305;7.566137;
205;Augustastraße;51.947823;7.631044;Die Haltestelle ist eingeschränkt barrierefrei. Barrierefrei ist nur der stadtauswärtige Bussteig.
206;Bertha-von-Suttner Weg;51.935598;7.647632;
207;Besselweg;51.970253;7.577354;
208;Bezirksregierung II;51.980706;7.635499;
209;Bischopinkstraße;51.942728;7.597941;Die Haltestelle ist eingeschränkt barrierefrei. Barrierefrei ist nur der stadtauswärtige Bussteig C
210;Bismarckallee;51.956323;7.618135;
211;Boeselagerstraße;51.934593;7.599527;
212;Bonifatiusweg;51.9252;7.655616;
213;Braseweg;51.980094;7.644688;
214;Brentanoweg;51.953442;7.676594;
215;Brunnenweg;51.926813;7.604918;
216;Cheruskerring;51.974846;7.62354;Die Haltestelle ist eingeschränkt barrierefrei. Barrierefrei sind nur die Bussteige A und B.
217;Christoph-Bernhard-Graben;51.929992;7.575445;
218;Clemenshospital;51.933211;7.615548;
219;Coerde;51.994702;7.639583;
