ID;Title;Latitude;Longitude;Info
100;Aegidiimarkt;51.960715;7.623713;
101;Alter Schützenhof B;51.945899;7.623508;
102;Altstadt / Bült A;51.963896;7.630529;
104;Mauritz-Mitte;51.967383;7.657918;
105;Domplatz;51.962117;7.626144;
106;Eisenbahnstraße A;51.961662;7.635541;
107;Gremmendorfer Weg A;51.928755;7.667575;
108;Hauptbahnhof A;51.956462;7.634042;
109;Hiltrup Schulzentrum / Stadthalle;51.903099;7.639542;
110;Inselbogen / Sparkassenzentrale A;51.940317;7.609184;
111;Klemensstraße;51.960979;7.628915;
112;Ludgeriplatz C;51.956068;7.627113;
113;Marktallee;51.904396;7.645821;
114;Idenbrockplatz;51.996454;7.600115;
115;P+R Coesfelder Kreuz A;51.964752;7.599964;
116;P+R Weseler Straße;51.936294;7.603608;
117;Stadtwerke / Hafen;51.95079;7.637394;
118;Altstadt / Bült B;51.964065;7.630568;
119;Eisenbahnstraße B;51.961069;7.635056;
120;Hauptbahnhof B2;51.957484;7.634684;
121;Hauptbahnhof C2;51.956444;7.633441;
122;Hauptbahnhof D1;51.957225;7.634146;
123;Wolbeck Markt A;51.916037;7.725222;
128;Hülsenbusch;51.926369;7.620165;
127;Königsberger Straße B;51.992633;7.648152;
126;Rüschhausweg A;51.974009;7.564774;
125;Roxel Mitte;51.954825;7.537088;
124;Alte Heroldstraße B;51.924937;7.573878;
129;Dreizehnerstr.;51.982617;7.611767;
1130;Handorf Mitte;51.987196;7.698552;
1131;Roxel Mitte;51.954656;7.536462;
1132;Dülmener Str.;51.924915;7.523722;
1133;Davertstr.;51.882951;7.606158;
1134;Nordplatz;51.97233;7.622879;
1135;Am Schütthook;51.914381;7.685302;
1136;Isolde-Kurz-Str. (Bussteig B);51.993412;7.548471;
