ID;Title;Latitude;Longitude;Info
530;Fach-Drogerie Jentschura;51.924703;7.522342;
531;Factory Hotel;51.977195;7.610852;
533;Kostümverleih Münsterland;51.92386;7.604903;
535;Lotto - Tabak Mauritz;51.966793;7.654571;
536;Lotto-Team Eisen;51.929706;7.598351;
537;Lotto-Zeitschriften-Tabakwaren Wänke;51.931756;7.580227;
541;Jüdefelder Eck Kiosk;51.966741;7.618112;
542;Presse & Tabakwaren Schöpper Paradies;51.960221;7.633205;
543;Raiffeisenstraße Sprakel;52.041041;7.619978;
544;Reisebüro Amelsbüren;51.883325;7.606409;
546;Schreib- & Leseboutique Zumegen;51.920146;7.728803;
548;Schreib & Spiel Uhr;51.997847;7.558257;
549;Schreib- & Spielwaren Michael;51.988651;7.69941;
551;Ska-Treff;51.966851;7.658846;
552;Stadtteilhaus Lorenz Süd;51.927886;7.623767;
553;Tabak & Presse Naber;51.967491;7.578522;
554;Tabak & Presse Naber (im Marktkauf);51.938664;7.647703;
555;Tabak & Presse Naber (im Marktkauf);51.958025;7.570257;
556;Tabakwaren Kintrup;51.954639;7.533738;
557;Uhr, Schreib & Spiel  Osttor;51.90564;7.663769;
559;Westf. Nachrichten Ticketshop;51.960113;7.625587;
561;Akbar's Kiosk;51.945052;7.619995;
562;Alte Apotheke;51.950704;7.670954;
563;Amadeus Heinemann Grill;51.996201;7.613423;
566;Tabak Tebbe;51.971193;7.645676;
569;Rüschhaus Kiosk;51.972634;7.564853;
570;Schöner-leben!;51.90448;7.651737;
571;Allerlei Khormann – Am Bült;51.963842;7.630436;
572;Kio Kiosk;51.955013;7.647918;
573;Lotto Store im EDEKA Markt;51.947365;7.608168;
574;Bauer Melchior;51.95298;7.613928;"Öffnungszeiten:
Mo – Fr.: 08:30 – 12:00 Uhr und 15:00 – 18:00 Uhr
Sa: 08:30 – 13:00 Uhr"
576;Rotthowe Coerde GmbH;51.993293;7.647675;
