"Lookup name";"Geokoordinaten";"Typ";"Genauer Standort";"Bemerkung"
"ÖG HAVICHHORSTSTRASSE (Alt-SP)";"51.963823, 7.645724";"Schule";;
"VG STAUFENPLATZ";"51.963995, 7.641744";"Öffentlicher Platz";;
"SCHULZENTRUM WOLBECK (HS";"51.913875, 7.719252";"Schule";;
"UNTERKUNFT WARENDORFER STR. 265";"51.971664, 7.667721";"Sonstige";;
"JUGENEINRICHTUNG DREI EICHEN";"51.995272982349675, 7.71283665258779";"Sonstige";;
"PESTALOZZISCHULE";"51.93109745971898, 7.66696209967985";"Schule";;"Heißt jetzt Idaschule"
"GRUNDSCHULE GELMER";"52.02950444098261, 7.675208335104652";"Schule";;"Ist die Astrid Lindgren-Schule Gelmer"
"R.-VON-WEIZSÄCKER-SCHULE";"51.94355325904727, 7.601030735786032";"Schule";"Ja";"Heißt jetzt Wilhelm-Emmanuel-von-Ketteler-Berufskolleg, Standort Beckstraße 26"
"OBERSTUFENHAUS MATHILDE-ANNEKE-GESAMTSCHULE";"51.958014827121744, 7.655177183651633";"Schule";;
"ATLANTIS";"51.98176703761267, 7.622455875462578";"Sonstige";;
"KITA AN DER GARTENSTRASSE";"51.976512471736896, 7.636529251105964";"Sonstige";;
"SCHULZENTR. KI-HAUS: GRUND+REALSCHULE+GYMN.";"51.99887129107541, 7.60553060036486";"Schule";;"Das Schulzentrum Kinderhaus mit der Grundschule am Kinderbach, der Geschwister-Scholl-Realschule und dem Geschwister-Scholl-Gymnasium"
"GERTRUDEN-/P-SCHNEIDER-SCHULE";"51.9985674870865, 7.6125954733233625";"Schule";;
"MELANCHTONSCHULE";"51.99334789225802, 7.645777996782428";"Schule";"Ja";"Königsberger Str. 91, 48157 Münster"
"AUGUSTIN-WIBBELT-SCHULE";"51.9550310440076, 7.531884932897995";"Schule";"Ja";"Auf dem Dorn 14, 48161 Münster Roxel"
"MOSAIKSCHULE";"51.965602882284706, 7.566765351652201";"Schule";;"Dieckmannstraße 131, 48161 Münster"
"VG SCHMALOERS BUSCH";"51.998678707768505, 7.5917743141237874";"Sonstige";"NEIN";"Keine Ahnung wo das ist, ob der Punkt ungefähr richtig ist"
"VG HAMANNPLATZ";"51.99358054566289, 7.648398271798084";"Sonstige";"NEIN";"Keine Ahnung wo das ist, ob der Punkt ungefähr richtig ist"
"BETREUTER SPIELPLATZ SÜDPARK 'ABI'";"51.94911807317884, 7.626656477579451";"Sonstige";;
"PRIMUSSCHULE BERG FIDEL";"51.925042969999474, 7.616445039849797";"Schule";;
"UNI-KLINIK: SPIELANGEBOT in der HELEN-KELLER-SCHULE";"51.95880222694001, 7.592494593104714";"Schule";"Ja";
"SCHULE AN DER BECKSTRASSE 26";"51.958802680562535, 7.592485146847508";"Schule";"Ja";"Ist das doppelt mit R,-VON-WEISZÄCKER-SCHULE?"
