"X";"Y";"LFDNR";"NAME";"URL";"SchoolType"
3406016;5760150;103;"Adolph-Kolping-Berufskolleg";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/103.html";"Berufskolleg"
3405478;5759272;45;"Aegidii-Ludgeri-Schule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/45.html";"Grundschule"
3407730;5759186;57;"Albert-Schweitzer-Schule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/57.html";"Förderschule"
3407460;5759224;101;"Anne-Frank-Berufskolleg";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/101.html";"Berufskolleg"
3405500;5759118;91;"Annette-von-Droste-Hülshoff-Gymnasium";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/91.html";"Gymnasium"
3409299;5754961;44;"Annette-von-Droste-Hülshoff-Schule Angelmodde";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/44.html";"Grundschule"
3401180;5763419;43;"Annette-von-Droste-Hülshoff-Schule Nienberge";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/43.html";"Grundschule"
3409148;5767031;7;"Astrid Lindgren-Schule Gelmer";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/7.html";"Grundschule"
3412294;5755511;95;"Berufskolleg der Landwirtschaftskammer Nordrhein-Westfalen";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/95.html";"Berufskolleg"
3406945;5759334;18;"Bodelschwinghschule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/18.html";"Grundschule"
3406941;5753357;42;"CLEMENS-+PAUL-GERHARDT-SCHULE";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/42.html";"Grundschule"
3404182;5751020;38;"Davertschule Amelsbüren";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/38.html";"Grundschule"
3404133;5757357;41;"D.-BONHOEFFER-SCHULE";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/41.html";"Grundschule"
3405521;5761087;40;"Dreifaltigkeitsschule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/40.html";"Grundschule"
3410264;5754275;9;"Eichendorffschule Angelmodde";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/9.html";"Grundschule"
