"Objekt";"statB";"Bez";"ObjNr";"Bezeichnung";"Baujahr";"Material"
"10 12506 ÖG HAVICHHORSTSTRASSE (Alt-SP)";25;10;12506;"Tischtennisplatte";;"Stein"
"10 21201 SP GESAMTSCHULE MITTE, Katthagen";12;10;21201;"Tischtennisplatte Katthagen Neubau";2018;"Sonstige"
"10 21201 SP GESAMTSCHULE MITTE, Katthagen";12;10;21201;"Tischtennisplatte Katthagen Spielbereich";2018;"Sonstige"
"10 21501 SP MARTINISCHULE";15;10;21501;"Tischtennisplatte";;"Stein"
"10 22402 SP HANSAPLATZ";24;10;22402;"Tischtennisplatte";;"Stein"
"10 22404 SP SOESTER STRASSE";24;10;22404;"Tischtennisplatte";;"Stein"
"10 22503 SP OSTSTRASSE";25;10;22503;"Tischtennisplatte";;"Stein"
"10 22504 SP ZUMSANDEPLATZ";25;10;22504;"Tischtennisplatte";;"Beton"
"10 22504 SP ZUMSANDEPLATZ";25;10;22504;"Tisch+Bank-Kombination";;
"10 22505 SP DIEPENBROCKSTRASSE";25;10;22505;"Tischtennisplatte";;"Stein"
"10 22606 SP RJASANSTRASSE";26;10;22606;"Tischtennisplatte";2002;"Beton"
"10 22704 SP MARTIN-LUTHER-SCHULE";27;10;22704;"Tisch mit Hockern";;"Siebdruck"
"10 22706 SP TANNENBERGSTRASSE";27;10;22706;"Tischtennisplatte";;"Stein"
"10 22707 SP SCHULSTRASSE";27;10;22707;"Tischtennisplatte";2013;"Beton"
"10 22708 SP MELCHERSSTRASSE";27;10;22708;"Tischtennisplatte";;"Stein"
"10 22709 SP WICHERNSTRASSE";27;10;22709;"Tischtennisplatte";;"Beton"
"10 22710 SP MARTIN-NIEMÖLLER-PARK";27;10;22710;"Tischtennisplatte";;"Stein"
"10 22901 SP ALTER ZOO";29;10;22901;"Tischtennisplatte rund";2023;"Beton"
"10 22902 SP WILHELMSTRASSE";29;10;22902;"Tischtennisplatte";;"Sonstige"
"10 25201 SP HORSTMARER LANDWEG";52;10;25201;"Tischtennisplatte";;"Beton"
"10 25202 SP AUF DEM DRAUN";52;10;25202;"Tischtennisplatte";;"Beton"
"10 52523 VG STAUFENPLATZ";25;10;52523;"Tischtennisplatte";;"Stein"
"10 61101 ANNETTE-VON-DROSTE-HÜLSHOFF-GYMNASIUM, Grüne Gasse 38";11;10;61101;"Tischtennisplatte (rechts)";;"Stahl, verzinkt"
"10 61101 ANNETTE-VON-DROSTE-HÜLSHOFF-GYMNASIUM, Grüne Gasse 38";11;10;61101;"Tischtennisplatte (links)";;"Stahl, verzinkt"
"10 61101 ANNETTE-VON-DROSTE-HÜLSHOFF-GYMNASIUM, Grüne Gasse 38";11;10;61101;"Tischtennisplatte (rechts)";;"Stahl, verzinkt"
"10 61101 ANNETTE-VON-DROSTE-HÜLSHOFF-GYMNASIUM, Grüne Gasse 38";11;10;61101;"Tischtennisplatte (links)";;"Beton"
"10 61101 ANNETTE-VON-DROSTE-HÜLSHOFF-GYMNASIUM, Grüne Gasse 38";11;10;61101;"Tischtennisplatte (rechts)";;"Beton"
"10 61201 GESAMT-SCHULE MÜNSTER-MITTE, Jüdefelder Straße 10";12;10;61201;"Tischtennisplatte Innenhof, beim Beet";;"Beton"
"10 61201 GESAMT-SCHULE MÜNSTER-MITTE, Jüdefelder Straße 10";12;10;61201;"Tischtennisplatte Innenhof, Mitte";;"Beton"
"10 61201 GESAMT-SCHULE MÜNSTER-MITTE, Jüdefelder Straße 10";12;10;61201;"Tischtennisplatte Innenhof, bei Schaukel";;"Beton"
"10 62101 ERICH-KLAUSENER-REALSCHULE, Bismarckallee 53";21;10;62101;"Tischtennisplatte 4 am Südtrakt";;"Sonstige"
"10 62101 ERICH-KLAUSENER-REALSCHULE, Bismarckallee 53";21;10;62101;"Tischtennisplatte 5 Ostrand  Schulhof";;"Sonstige"
