LfdNr;Objektname;Objekttyp;Lat;Lon;Objekttyp2;ObjektID;BezirkID;ObjektID2;PlatteBezeichnung;PlatteBaujahr;PlatteMaterial;PlatteID
1;ÖG HAVICHHORSTSTRASSE (Alt-SP);Schule;51.963823;7.645724;;;10;12506;Tischtennisplatte;;Stein;10 12506 ÖG HAVICHHORSTSTRASSE (Alt-SP)
2;SP GESAMTSCHULE MITTE;Spielplatz;51.96438361603951;7.620556298769743;BC-1: BC-Bereich mit Ballspielangebot;21201;10;21201;Tischtennisplatte Katthagen Neubau;2018;Sonstige;10 21201 SP GESAMTSCHULE MITTE, Katthagen
3;SP GESAMTSCHULE MITTE;Spielplatz;51.96438361603951;7.620556298769743;BC-1: BC-Bereich mit Ballspielangebot;21201;10;21201;Tischtennisplatte Katthagen Spielbereich;2018;Sonstige;10 21201 SP GESAMTSCHULE MITTE, Katthagen
4;SP MARTINISCHULE;Spielplatz;51.96550915457626;7.632012370180278;BC-0: BC-Bereich ohne Ballspielangebot;21501;10;21501;Tischtennisplatte;;Stein;10 21501 SP MARTINISCHULE
5;SP HANSAPLATZ;Spielplatz;51.95518043766086;7.644796262701368;ABC-1: ABC-Bereich mit Ballspielangebot;22402;10;22402;Tischtennisplatte;;Stein;10 22402 SP HANSAPLATZ
6;SP SOESTER STRASSE;Spielplatz;51.95371797088697;7.63772883984793;BC-0: BC-Bereich ohne Ballspielangebot;22404;10;22404;Tischtennisplatte;;Stein;10 22404 SP SOESTER STRASSE
7;SP OSTSTRASSE;Spielplatz;51.962249992215376;7.6467038747142055;ABC-0: ABC-Bereich ohne Ballspielangebot;22503;10;22503;Tischtennisplatte;;Stein;10 22503 SP OSTSTRASSE
8;SP ZUMSANDEPLATZ;Spielplatz;51.95941322400803;7.641618966259975;ABC-1: ABC-Bereich mit Ballspielangebot;22504;10;22504;Tischtennisplatte;;Beton;10 22504 SP ZUMSANDEPLATZ
10;SP DIEPENBROCKSTRASSE;Spielplatz;51.958141120280416;7.640548041767211;BC-0: BC-Bereich ohne Ballspielangebot;22505;10;22505;Tischtennisplatte;;Stein;10 22505 SP DIEPENBROCKSTRASSE
11;SP RJASANSTRASSE;Spielplatz;51.97224011785281;7.634454298844638;A-0: A-Bereich ohne Ballspielangebot;22606;10;22606;Tischtennisplatte;2002;Beton;10 22606 SP RJASANSTRASSE
